Item,Dose,Number,Medium,Boxes,Location
Anti-diarrheal/Loperamide,2mg,41,Caplets,2,GI Meds drawer (top)
Pepto/Bismuth Subsalicylate,262mg,126,chewables,3,GI Meds drawer (top)
Miralax mixers ,,19,wooden mixers,2,GI Meds drawer (top)
Pepcid / Famotidine ,20mg,200,tablet,1,GI Meds drawer (top)
Laxative / Sennosides USP,25 mg,90,tablets,,GI Meds drawer (top)
Tums / Ca Carbonate ,750mg,96,chewable tabs,1,GI Meds drawer (bottom)
Rolaids / Ca Carbonate + Mg hydroxide,675 + 135 mg,40,chewable tabs,1 sleeve,GI Meds drawer (bottom)
Sterile Polyester Tipped Applicator (qtip),,11,qtips,1 bag with many bags,Wound Care
Solon cotton tipped applicators,,9,qtips,individual bags,Wound Care
NaCl flushes,10mL,7,syringes,individual bags,Wound Care
Cold Compress,,0,,1,Wound Care
Iodosorb / Cadexomer Iodine Gel,40mg/1.4oz,6,gel,1,Wound Care
"Triple Abx Ointment = bacitracin zinc, neomycin sulfate, polymixin B sulfate",400 units/3.5mg/5000 units,10,single use tubes,individual packets,Wound Care
Aquacel Ag Dressing,,2,dressing,single use packets,Wound Care
ChloraPrep single swabstick,,1,qtips,single use stick,Wound Care
Cavilon No sting barrier film ,,3,,Single use sticks,Wound Care
Povidone Iodine swabstick ,,17,qtips,single use sticks,Wound Care
Clear eyes redness relief,,4,eye drops,box,Eye Drops
Pataday / Olopatadine HCl (antihistamine),0.70%,6,eye drops,bottles in boxes,Eye Drops
ChloraPrep One-Step (CHG / IPA),2%/70%,1,,single use package,Suture Staple Removers
Needles + syringe (assorted),,1,,Bag,Suture Staple Removers
Staple Removal Kit,,1,Kit,Box,Suture Staple Removers
Devon Suture Removal Kit,,2,Kit,Packet,Suture Staple Removers
Acupuncture Needles,,4,Needles,Packet,Suture Staple Removers
Sterile Gloves (latex) size 6.5,,7,Gloves,Packet,Sterile Gloves
Lotrimin/ Clotrimazole Cream,1% (28.4g/1oz),5,tube ointment,Box,Topical Care
Hydrocortisone cream,1% (28.3g/1oz),3,tube ointment,Box,Topical Care
Cooling Burn Spray (Lidocaine HCl + Aloe),4%,1,spray can,spray can,Topical Care
Vagisil (Benzocaine/Resorcinol),20% / 3%,2,tube ointment,2,Topical Care
Ace Bandages,,3,rolls in boxes,3,Bandages
Pre-wrap,,1,roll,1,Bandages
Kerlix Bandage Roll,,2,roll,2,Bandages
Petrolatum (petroleum gel),100%,4,tube ointment,4,Hot compress
HEB Petroleum Jelly,100%,1,tub,1,Hot compress
Hot compress,,27,individual packs,3,Hot compress
Extra Strength Acetaminophin,500mg,500,pills,1,Pain meds
Ibuprofen Tablets,200mg,250,pills,1,Pain meds
Dye free ibuprofen,200mg,25,pills,1,Pain meds
Motrin Ibuprofen tablet packs,200mg,100,individual pill packs,1 box,Pain meds
Extra Stength Tylenol packs,500mg,150,individual pill packs,1 box,Pain meds
Zyrtec (Cetirizine HCl),10mg,150,individual pill packs,1 box,Allergy Meds
Max Strength Phenylephrine HCl,10mg,162,blister packs of 18 pills,4 boxes (one box w 3 sleeves),Allergy Meds
"Max Strength Sinus Pressure, Pain + cough (acetominophen, dextromethorphan, guaifenesin, phenylephrine)",325mg/10mg/200mg/5mg,6,box of blister pack (few left),1 box,Allergy Meds
